tweet,value
"The perfect #covid19 Middle Eastern football photo ever taken.

What a shot. https://t.co/X8n81JtUAZ",1
"@A4Ny14 A mask mandate is a good thing, but I would prefer the punishment was a week work requirement in a #COVID19… https://t.co/L8sQxLGhFs",1
@UKCovid19Stats 12 deaths....oooh scary #COVID19,0
@_Norwegian_Blue It’s incredible the neoliberal right believes in the idea of #HerdImmunity. The evidence that you… https://t.co/WbRhy9irMF,1
"@DoctorJohn_MD how did you contract #COVID19 #coronavirus if you’re covered from head-to-toe by PPE?!

Sorry if you… https://t.co/B3jKkgswE3",0
"In the spirit of helping others find a good mask:
I tried 10 masks and this was the one I liked the best. Nose wire… https://t.co/S4WC5FiAt4",1
"Artists/sculptors, please submit photos of your ideas/sketches to us (DM or post below).

You can submit as many id… https://t.co/Idv0qDoOH5",1
Living under lockdown and the uncertainty that #COVID19 has brought to our lives has been difficult for everyone. B… https://t.co/cT70oIxcVw,0
"Dora: How does it feel not being able to do what you love most?

Laycon: Music? I miss it 

Dora: You can borrow ey… https://t.co/bLsAqlEmCX",1
"BEST EFFECTIVE HOME REMEDIES AND TIPS TO PROTECT AGAINST COVID – 19 

A complete list set of home remedies to prote… https://t.co/ePQH1D1blo",1
"@mtgreenee Not a party.
A #COVID19 event.
Can't wait.
You'll be in the news.
But not for your *win*.",1
"It isn't just the pandemic response that's pathetic. Experts in every field are condemning Govt policy, strategies,… https://t.co/TJBxeAZiQu",0
#Fauci says #US has the worst #COVID19 outbreak in the #world https://t.co/eDvNTwTEO0 via @MailOnline,0
"Are you looking for a cheap, reliable website designed for you or your business? 
DM me today!

#websites… https://t.co/105tvjzuU1",1
@10DowningStreet  #uk #covid19 #coronavirus Boris says he’s being “ruthless” with imposing quarantine rules on othe… https://t.co/gVt2Bsbubz,0
"Shut up and #WearADamnMask including you special people #WearAMask !!!

#breaking #ThursdayThoughts #Texas… https://t.co/VAF9m4h1TZ",1
"Plenty of Arizonans would be perfectly happy if ""asymptomatic"" Raúl Grijalva self-quarantined forever:… https://t.co/uuszV7dXF5",1
"Very important #BreakingNews by @The_Dialogue_. Underscores, the importance of not playing politics with #Covid19 t… https://t.co/jPmA8YsWLy",1
#SnapFrame #Aboards are perfect for delivering #COVID19 safety &amp; security messages inside &amp; outside your location… https://t.co/EvWgKdjnJs,1
"For many years to come we will be researching #COVID19 
https://t.co/Ek60r1xZUw",1
"@JeffPassan @JesseRogersESPN The tests don't mean anything. If none of them are sick, then who cares? Let's burn do… https://t.co/17vlQWVA46",0
"Sign up And win 100$

https://t.co/aCT1NEePYy

#btc #xlm #pnt #eth #bnb #covid #COVID19 #link #xvg #chr #chz #zil… https://t.co/jp8keBwpEp",1
"We are against the UGC guidelines for Cancle all UG and PG exams during #COVID19.

All the best to you sir… https://t.co/tu1fxXRYpg",1
"Most Nigerians has lost their taste for culture, how many of us can speak our language.
#TuesdayThoughts #COVID19 #hope #Nigeria",1
All this talk of ‘war games’ seem a bit silly and these rules darn draconic. When are we going to figure out a bett… https://t.co/TQpehYrue6,0
@omar_quraishi And those who oppose @PTIofficial and the #PakistanArmy are quite unhappy / uneasy that the number o… https://t.co/ycbvQmdKbD,0
Good question #Covid19 #DC https://t.co/74R5IHNgbO,1
"@cj_dinenage 
The burden of austerity + #COVID19 falls greatest on Women’s shoulders 

Wouldn’t it be something if… https://t.co/bSFKx664uK",1
"Stupid should hurt... and guess what? 
Now it does.
#COVID19",0
@parkernow The hilarious podcast where hosts Jamie and Mark ask the guest to pick 5 items for a fiver to get them t… https://t.co/HDG4EIIuq9,1
".@AXA_XL sets out a 3-stage #COVID19 response strategy in this @RiskInsurance article

Stage 1: Mobilize a Safe and… https://t.co/cyq9d7JnhF",1
Gain a better understanding of today’s employment trends by downloading The Demand for Skilled Talent in the… https://t.co/5ufKYO1Rz3,1
I'm watching @DanielAndrewsMP on @abcnews having to face this awful crisis alone. Where is @ScottMorrisonMP in this… https://t.co/DX8KHITCnA,0
"@Northernlu @photopro28 Unless you infected hundreds of animals
you would not expect many (any?) deaths
-the ""death… https://t.co/islzUt5nsB",1
"Even in these challenging times, we must not lose hope. What can bring you some joy...Downtime? Helping others in a… https://t.co/IVgDz5WX4j",1
Excellent thread on school in the age of #COVID19 https://t.co/NyamB3VeCI,1
Latest update from #TamilNadu health department on #COVID19 https://t.co/yBtY7aLIUz,1
@AmyAndrewsFOX2 can someone get a statement from her about why it's ok to continue this uneccessary training WHILE… https://t.co/Luu1eeP21z,1
